freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
0.0000e+00	5	true	48208	1.9707e-03	1.2310e-04	1.6009e+01	3.1489e-57	5.0978e-03	1.6055e-02	1.5993e-02	2.5628e+02	3.1489e-57	15708	5.5086e-03	4.2270e-05	1.3032e+02	0.0000e+00	3.7234e-04	8.7513e-05	4.2547e+00	2.1051e-05	5.1362e-03	1.1513e-03	1.0877e-03	1.8103e+01	2.1051e-05	15708	5.6222e-03	4.4217e-05	1.2715e+02	0.0000e+00
0.0000e+00	10	false	1037559	1.0223e-03	2.0162e-05	5.0702e+01	0.0000e+00	4.7641e-03	1.4066e-01	1.4060e-01	2.5707e+03	0.0000e+00	15708	4.0460e-03	4.9998e-05	8.0924e+01	0.0000e+00	2.1854e-04	1.1440e-05	1.9104e+01	1.9123e-80	5.0805e-03	2.2709e-02	2.2647e-02	3.6496e+02	1.9123e-80	15708	4.8436e-03	6.0161e-05	8.0511e+01	0.0000e+00
0.0000e+00	10	true	72339	1.8266e-03	1.0882e-04	1.6785e+01	1.1010e-62	5.0937e-03	1.7622e-02	1.7560e-02	2.8174e+02	1.1010e-62	15708	5.4637e-03	4.2872e-05	1.2744e+02	0.0000e+00	-3.9962e-06	4.7158e-05	-8.4740e-02	9.3247e-01	5.1392e-03	4.5721e-07	-6.3213e-05	7.1809e-03	9.3247e-01	15708	5.6950e-03	4.8262e-05	1.1800e+02	0.0000e+00
1.0000e-02	-10	false	136797	1.7735e-04	2.5402e-06	6.9814e+01	0.0000e+00	4.4896e-03	2.3683e-01	2.3679e-01	4.8741e+03	0.0000e+00	15708	2.8993e-03	5.3705e-05	5.3987e+01	0.0000e+00	1.1409e-04	2.9016e-06	3.9319e+01	1.4000e-322	4.9035e-03	8.9611e-02	8.9553e-02	1.5460e+03	1.4000e-322	15708	3.6959e-03	6.4109e-05	5.7651e+01	0.0000e+00
1.0000e-02	-10	true	9925	7.9867e-04	2.3468e-05	3.4031e+01	5.4736e-245	4.9596e-03	6.8675e-02	6.8615e-02	1.1581e+03	5.4736e-245	15708	4.2638e-03	5.7700e-05	7.3896e+01	0.0000e+00	1.1509e-04	2.0607e-05	5.5852e+00	2.3735e-08	5.1341e-03	1.9822e-03	1.9186e-03	3.1194e+01	2.3735e-08	15708	5.4298e-03	6.2419e-05	8.6989e+01	0.0000e+00
1.0000e-02	-5	false	108102	3.2787e-04	4.6282e-06	7.0842e+01	0.0000e+00	4.4739e-03	2.4216e-01	2.4211e-01	5.0186e+03	0.0000e+00	15708	3.6314e-03	4.6054e-05	7.8850e+01	0.0000e+00	9.9358e-05	2.4926e-06	3.9861e+01	0.0000e+00	4.8975e-03	9.1869e-02	9.1812e-02	1.5889e+03	0.0000e+00	15708	4.2189e-03	5.3799e-05	7.8419e+01	0.0000e+00
1.0000e-02	-5	true	6068	1.5653e-03	4.5000e-05	3.4784e+01	1.8964e-255	4.9520e-03	7.1524e-02	7.1465e-02	1.2099e+03	1.8964e-255	15708	4.8766e-03	4.5954e-05	1.0612e+02	0.0000e+00	7.9005e-04	3.3829e-05	2.3354e+01	1.3008e-118	5.0522e-03	3.3561e-02	3.3500e-02	5.4542e+02	1.3008e-118	15708	5.0540e-03	4.8714e-05	1.0375e+02	0.0000e+00
1.0000e-02	-1	false	619528	2.2493e-04	3.0463e-06	7.3836e+01	0.0000e+00	4.4279e-03	2.5767e-01	2.5762e-01	5.4517e+03	0.0000e+00	15708	3.4913e-03	4.6230e-05	7.5520e+01	0.0000e+00	1.2377e-05	2.4945e-07	4.9617e+01	0.0000e+00	4.7783e-03	1.3551e-01	1.3545e-01	2.4618e+03	0.0000e+00	15708	4.2299e-03	4.8196e-05	8.7765e+01	0.0000e+00
1.0000e-02	-1	true	34143	1.1725e-03	2.9419e-05	3.9854e+01	0.0000e+00	4.8975e-03	9.1843e-02	9.1786e-02	1.5884e+03	0.0000e+00	15708	4.5919e-03	4.7854e-05	9.5957e+01	0.0000e+00	2.0332e-04	4.8443e-06	4.1971e+01	0.0000e+00	4.8732e-03	1.0085e-01	1.0079e-01	1.7616e+03	0.0000e+00	15708	4.4451e-03	4.8945e-05	9.0818e+01	0.0000e+00
1.0000e-02	0	false	5168502	7.3266e-05	1.1475e-06	6.3849e+01	0.0000e+00	4.5792e-03	2.0607e-01	2.0602e-01	4.0767e+03	0.0000e+00	15708	3.7351e-03	4.7697e-05	7.8309e+01	0.0000e+00	1.0768e-06	1.6702e-08	6.4469e+01	0.0000e+00	4.5700e-03	2.0925e-01	2.0920e-01	4.1563e+03	0.0000e+00	15708	4.0586e-03	4.4409e-05	9.1392e+01	0.0000e+00
1.0000e-02	0	true	308776	3.5351e-04	8.1359e-06	4.3451e+01	0.0000e+00	4.8556e-03	1.0731e-01	1.0725e-01	1.8880e+03	0.0000e+00	15708	4.2943e-03	5.0368e-05	8.5257e+01	0.0000e+00	1.7066e-05	3.1063e-07	5.4941e+01	0.0000e+00	4.7068e-03	1.6121e-01	1.6115e-01	3.0185e+03	0.0000e+00	15708	4.1391e-03	4.7012e-05	8.8043e+01	0.0000e+00
1.0000e-02	1	false	626830	3.1621e-04	4.7420e-06	6.6683e+01	0.0000e+00	4.5369e-03	2.2065e-01	2.2060e-01	4.4467e+03	0.0000e+00	15708	3.5815e-03	4.8092e-05	7.4471e+01	0.0000e+00	1.2199e-05	2.5032e-07	4.8734e+01	0.0000e+00	4.7898e-03	1.3135e-01	1.3130e-01	2.3750e+03	0.0000e+00	15708	4.0199e-03	5.1371e-05	7.8253e+01	0.0000e+00
1.0000e-02	1	true	33568	1.4467e-03	4.1293e-05	3.5035e+01	5.4106e-259	4.9494e-03	7.2488e-02	7.2429e-02	1.2275e+03	5.4106e-259	15708	4.9286e-03	4.5114e-05	1.0925e+02	0.0000e+00	2.2778e-04	5.1549e-06	4.4188e+01	0.0000e+00	4.8468e-03	1.1057e-01	1.1052e-01	1.9526e+03	0.0000e+00	15708	4.1876e-03	5.1535e-05	8.1257e+01	0.0000e+00
