freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
0.0000e+00	5	true	3061	-1.5592e-03	5.6038e-04	-2.7825e+00	5.3953e-03	8.3046e-03	6.1566e-05	5.3614e-05	7.7422e+00	5.3953e-03	125748	4.8591e-03	2.3439e-05	2.0731e+02	0.0000e+00	-2.6634e-03	3.9789e-04	-6.6939e+00	2.1825e-11	8.3034e-03	3.5621e-04	3.4826e-04	4.4808e+01	2.1825e-11	125748	4.8656e-03	2.3456e-05	2.0744e+02	0.0000e+00
0.0000e+00	10	false	29718	-1.2657e-03	3.3271e-04	-3.8042e+00	1.4236e-04	8.3044e-03	1.1507e-04	1.0712e-04	1.4472e+01	1.4236e-04	125748	4.8626e-03	2.3475e-05	2.0714e+02	0.0000e+00	-1.1295e-03	9.5045e-05	-1.1884e+01	1.4900e-32	8.3002e-03	1.1219e-03	1.1140e-03	1.4123e+02	1.4900e-32	125748	4.8917e-03	2.3594e-05	2.0733e+02	0.0000e+00
0.0000e+00	10	true	5093	-5.6642e-04	6.2289e-04	-9.0934e-01	3.6317e-01	8.3049e-03	6.5759e-06	-1.3766e-06	8.2690e-01	3.6317e-01	125748	4.8572e-03	2.3435e-05	2.0726e+02	0.0000e+00	-1.1228e-03	7.9205e-05	-1.4176e+01	1.3996e-45	8.2983e-03	1.5956e-03	1.5876e-03	2.0096e+02	1.3996e-45	125748	4.8886e-03	2.3511e-05	2.0793e+02	0.0000e+00
1.0000e-02	-10	false	429	1.4202e-03	1.0065e-04	1.4110e+01	3.5663e-45	8.2983e-03	1.5808e-03	1.5729e-03	1.9909e+02	3.5663e-45	125748	4.7929e-03	2.3830e-05	2.0113e+02	0.0000e+00	3.5108e-04	9.1725e-05	3.8276e+00	1.2947e-04	8.3044e-03	1.1649e-04	1.0854e-04	1.4650e+01	1.2947e-04	125748	4.8347e-03	2.4100e-05	2.0061e+02	0.0000e+00
1.0000e-02	-10	true	103	-2.5614e-04	1.4221e-04	-1.8012e+00	7.1678e-02	8.3048e-03	2.5799e-05	1.7847e-05	3.2442e+00	7.1678e-02	125748	4.8634e-03	2.3732e-05	2.0493e+02	0.0000e+00	-2.5435e-03	7.0384e-05	-3.6138e+01	1.6865e-284	8.2621e-03	1.0279e-02	1.0271e-02	1.3059e+03	1.6865e-284	125748	5.1285e-03	2.4485e-05	2.0945e+02	0.0000e+00
1.0000e-02	-5	false	431	5.4301e-03	1.9515e-04	2.7825e+01	7.1305e-170	8.2794e-03	6.1194e-03	6.1115e-03	7.7422e+02	7.1305e-170	125748	4.7798e-03	2.3510e-05	2.0331e+02	0.0000e+00	2.9746e-03	1.0529e-04	2.8250e+01	4.9964e-175	8.2787e-03	6.3067e-03	6.2988e-03	7.9808e+02	4.9964e-175	125748	4.7148e-03	2.3878e-05	1.9745e+02	0.0000e+00
1.0000e-02	-5	true	32	5.6103e-03	5.2138e-04	1.0760e+01	5.4349e-27	8.3011e-03	9.1996e-04	9.1201e-04	1.1579e+02	5.4349e-27	125748	4.8451e-03	2.3433e-05	2.0677e+02	0.0000e+00	-2.5458e-03	2.4599e-04	-1.0349e+01	4.3210e-25	8.3014e-03	8.5103e-04	8.4309e-04	1.0711e+02	4.3210e-25	125748	4.8793e-03	2.3514e-05	2.0751e+02	0.0000e+00
1.0000e-02	-1	false	3162	4.5388e-03	1.2689e-04	3.5770e+01	8.3854e-279	8.2630e-03	1.0072e-02	1.0065e-02	1.2795e+03	8.3854e-279	125748	4.7438e-03	2.3514e-05	2.0175e+02	0.0000e+00	2.5010e-03	2.5465e-05	9.8215e+01	0.0000e+00	8.0036e-03	7.1246e-02	7.1239e-02	9.6462e+03	0.0000e+00	125748	3.9332e-03	2.4449e-05	1.6087e+02	0.0000e+00
1.0000e-02	-1	true	334	-1.7367e-04	1.9152e-04	-9.0684e-01	3.6449e-01	8.3049e-03	6.5398e-06	-1.4127e-06	8.2236e-01	3.6449e-01	125748	4.8590e-03	2.3591e-05	2.0597e+02	0.0000e+00	2.9210e-03	8.5255e-05	3.4262e+01	4.3680e-256	8.2664e-03	9.2492e-03	9.2413e-03	1.1739e+03	4.3680e-256	125748	4.6581e-03	2.4019e-05	1.9394e+02	0.0000e+00
1.0000e-02	0	false	44264	2.3495e-03	5.0093e-05	4.6901e+01	0.0000e+00	8.2332e-03	1.7193e-02	1.7185e-02	2.1997e+03	0.0000e+00	125748	4.5653e-03	2.4033e-05	1.8996e+02	0.0000e+00	1.5420e-04	8.5704e-07	1.7992e+02	0.0000e+00	7.4061e-03	2.0473e-01	2.0472e-01	3.2371e+04	0.0000e+00	125748	3.0827e-03	2.3095e-05	1.3348e+02	0.0000e+00
